Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
carrot chowder,"crs	totest	post	chopmeat",8 servings,"1 lb ground beef, browned and rained	1/2 c  chopped celery	1/2 c  chopped onion	1 c  chopped green pepper	2 1/2 c  grated carrots	1 cn (32oz) tomato juice	2 cn cream of celery soup	1 1/2 c  water	1/2 ts garlic salt	1/2 ts marjoram	1 ts sugar	1/2 ts salt	shredded montery jack	cheese","<RECIPE_START> in a large skillet , brown ground beef and onion drain fat stir in tomato sauce , water , salt , pepper , and sugar cover and simmer for 1 hour or until meat is tender stir in macaroni and cheese cover and cook on low for 8 to 10 hours <RECIPE_END>","<RECIPE_START> cook and stir the meat , onion , celery , and onion in a large skillet until the meat is brown drain off the excess fat add the meat , celery , carrots , celery , parsley , salt , pepper , and salt and pepper to taste cook for 10 minutes , stirring occasionally add the macaroni and cook for a few minutes more add the cooked macaroni and the macaroni cook until the mixture is thickened and the consistency of the consistency of the consistency of the consistency of the cheese is melted and the sauce is cooked <RECIPE_END>","<RECIPE_START> brown meat in oil in large skillet add onion , celery , carrots , and celery cook until vegetables are tender add tomatoes , water , salt , pepper , salt and pepper cook , stirring occasionally , until vegetables are tender , about 10 minutes add tomatoes and water simmer for 10 minutes add potatoes and simmer for 10 minutes more serve with hot cooked rice <RECIPE_END>","<RECIPE_START> cook onion and garlic in water until tender add salt , sugar , celery , carrots , soup , tomato juice , cream , and green pepper simmer , stirring occasionally , for about 10 minutes or until thickened and bubbly add cheese and cook until heated through <RECIPE_END>"
carrot kugel,"passover	side dish	vegetables",8 servings,"4    eggs; separated	1/2 c  sugar	1 c  tightly packed grated carrot	1/4 c  shredded;peeled apple	1/4 c  sweet red wine	2 tb lemon juice	1/2 ts grated lemon rind	1/3 c  potato starch grease for the casserole","<RECIPE_START> preheat the oven to 350 degrees f beat the eggs and sugar until light and fluffy add the eggs , one at a time , beating well after each addition beat in the egg yolks , one at a time , beating well after each addition beat in the egg whites and the remaining whites until stiff fold in the egg whites pour into the prepared pan and bake for about 40 minutes , or until the cake is golden brown and the top is golden brown and the top is golden brown serve hot or cold <RECIPE_END>","<RECIPE_START> in a medium bowl , combine the egg yolks , sugar , lemon juice , and salt in a small bowl and whisk in the egg yolks , lemon juice , and sugar until the mixture is smooth and the mixture is thick and lemon colored , about 5 minutes stir in the lemon peel and the remaining ingredients and mix well chill for at least 1 hour before serving <RECIPE_END>","<RECIPE_START> combine eggs , sugar , lemon juice , lemon juice , lemon juice , and lemon juice in a small bowl stir well to blend pour into a 9 - inch pie plate bake at 350 degrees for 30 minutes or until crust is golden brown and crisp cool on wire rack <RECIPE_END>","<RECIPE_START> in a saucepan , combine the sugar , eggs , lemon juice , wine and lemon rind bring the mixture to a boil , then reduce the heat to low and simmer for 10 minutes , stirring occasionally remove from the heat and stir in the lemon juice and lemon juice cool to room temperature beat the whites until stiff peaks form , about 1 minute add the sugar and continue beating until the mixture is stiff and glossy beat the whites with the sugar until stiff peaks form fold in the remaining whites pour into the prepared pan , smoothing the sides of the pan bake in the middle of a preheated 350 f oven for 30 minutes or until the top is golden and the top is set let cool in the pan on a rack for 10 minutes remove from the pan and cool on a wire rack <RECIPE_END>"
catfish oregon hazelnuts,"main dish	fish",4 servings,"1/2 c  cornmeal	1/4 c  all-purpose flour	1/4 c  finely ground hazelnuts (roasted oregon hazelnuts)	1 ts salt	1/2 ts cayenne pepper	1/4 ts ground cumin	4    catfish fillets (6 oz. ea.)	1/4 c  olive oil	2 tb coarsely chopped hazelnuts (roasted oregon hazelnuts)","<RECIPE_START> combine flour , salt , and baking powder in a bowl , beat egg yolks and add to dry ingredients , stirring until smooth add egg whites and mix well add the egg whites and mix well add the egg whites and mix well add the egg whites and mix well add the egg whites and mix well shape into a ball and place in a greased baking dish bake at 350 degrees f for 30 minutes or until the top is golden brown and the top is golden brown serve hot <RECIPE_END>","<RECIPE_START> in a small bowl , combine the flour , cornmeal , baking powder , salt , pepper , and cayenne pepper and set aside in a small bowl , combine the remaining ingredients and mix well shape the mixture into a ball and place on a lightly oiled baking sheet bake in a preheated 350 degree f oven for about 15 minutes or until the fish flakes easily when tested with a fork , remove the pan from the oven and let cool for 5 minutes before slicing <RECIPE_END>","<RECIPE_START> combine flour , salt , cayenne , and cayenne pepper in a small bowl stir in almonds and almonds and toss to coat <RECIPE_END>","<RECIPE_START> combine cornmeal , salt , pepper , cayenne , cayenne pepper , and oil in large bowl add fillets , tossing to coat well bake in preheated 350 degree oven for 20 minutes or until lightly browned remove from heat and let stand 5 minutes before serving <RECIPE_END>"
cauliflower vinegar sauce,"appetizers	spanish	vegetables	low-fat",4 servings,"1 ea onion, chopped	2 ea garlic cloves finely chopped	1 c  green bell pepper, chopped	1 1/2 ts olive oil	3 1/2 c  cauliflower florets	3 tb vegetable stock	3 tb white wine vinegar	2 ts paprika	1 ts cumin, ground	1/4 ts salt","<RECIPE_START> saute onion in oil in a large skillet until tender add garlic and cook until tender add tomatoes , tomato paste , salt , pepper , and cumin cook for 1 minute add tomatoes , tomato paste , and salt and simmer for 15 minutes add the tomatoes , salt and pepper to taste simmer for 10 minutes , stirring occasionally add the remaining ingredients and simmer for 10 minutes more serve hot <RECIPE_END>","<RECIPE_START> saute onion and garlic in oil until soft add the stock , vinegar , salt , pepper , and cayenne bring to a boil , reduce heat and simmer for 10 minutes , stirring occasionally add the vinegar and stir until well blended serve over rice <RECIPE_END>","<RECIPE_START> saute onion , garlic & garlic in oil until tender add stock & bring to a boil reduce heat & simmer for 20 minutes add stock & simmer for 5 minutes add stock & bring to a boil reduce heat & simmer for 20 minutes add stock & simmer for 5 minutes add stock & bring to a boil reduce heat & simmer for 20 minutes , stirring occasionally serve over rice <RECIPE_END>","<RECIPE_START> in a large saucepan , saute onion and garlic in olive oil until soft add paprika , cumin , salt , pepper , and vinegar bring to a boil , reduce heat and simmer for 10 minutes , stirring occasionally add cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , cauliflower , and cauliflower cook until heated through , about 5 minutes serve over hot vegetable dishes <RECIPE_END>"
ceylon tea-infused vinegar,condiments,7 cups,"7 c  white wine vinegar	8    ceylon tea bags","<RECIPE_START> mix the vinegar and water in a small bowl and stir well cover and refrigerate for at least 2 hours or overnight , stirring occasionally , until the mixture is very thick and creamy <RECIPE_END>","<RECIPE_START> in a large saucepan , combine the vinegar , water , and sugar bring to a boil , reduce heat and simmer for 5 minutes , stirring occasionally add water and stir until dissolved add vinegar and cook until tender , about 5 minutes serve hot or cold water <RECIPE_END>",<RECIPE_START> pour into a saucepan and bring to a boil add the sugar and stir until dissolved in the sugar and boil for 5 minutes add the sugar and stir until dissolved in the sugar mixture pour into a sterilized jar and seal <RECIPE_END>,"<RECIPE_START> place vinegar , tea tea bags and hot tea in a blender or food processor and blend until smooth pour into a glass jar and refrigerate until ready to serve <RECIPE_END>"
chaddesden barley waterenglish,english,4 servings,"1 tb pearl barley	peel of 4 lemons	8 x  lumps of sugar	4 pt boiling water","<RECIPE_START> bring the water to a boil in a large saucepan add the sugar and the lemon juice and bring to a boil over medium heat , stirring constantly , until the sugar is dissolved and the mixture is thick and clear remove from the heat and stir in the lemon juice and the lemon juice and the lemon juice <RECIPE_END>","<RECIPE_START> put the sugar , water , and water in a saucepan bring to a boil , then reduce the heat and simmer for 10 minutes , then strain the liquid through a sieve into a bowl and add the sugar , the lemon juice , and honey to taste <RECIPE_END>","<RECIPE_START> put the lemons in a saucepan and add the water to cover the pan and bring to a boil , then reduce the heat to low and simmer for 10 minutes , then strain the liquid into a clean saucepan and add the sugar and bring to a boil add the blaeberries and bring to a boil , then pour the liquid into the pan and bring to a boil , then reduce the heat to simmer , cover the pan and simmer for 10 minutes , then remove the pan from the heat and let cool to room temperature , then strain into a clean bottle and store in a cool , dark place <RECIPE_END>","<RECIPE_START> put sugar , water , lemons and boiling water in a saucepan and boil for 5 minutes strain through a sieve and strain through a fine sieve into a large pot and pour into a large pot with a tight fitting lid , cover with a lid and let steep for 10 - 15 minutes peel and cut into small pieces add to the pot and bring to the boil add the water and bring to a boil add the water and boil for 5 minutes remove the lid and let it cool for a few minutes before serving <RECIPE_END>"
charles baddours boston brownies,"desserts	chocolate",1 servings,"4    squares unsweetened chocolat	1/2 lb butter or parkay margarine	2 c  sugar	1 c  flour	4    eggs	2 ts vanilla	1 c  nuts, chopped	1 c  semisweet chocolate chips","<RECIPE_START> preheat oven to 350 degrees f butter a 9 '' square pan with cooking spray in a large bowl , combine flour , baking soda , and salt add to creamed mixture , beating well after each addition blend in vanilla and chocolate chips drop by rounded teaspoonfuls onto ungreased cookie sheet bake at 350 degrees for 10 to 12 minutes or until golden brown remove from cookie sheet cool on wire racks <RECIPE_END>","<RECIPE_START> melt butter and sugar in large bowl add eggs , one at a time , beating well after each addition add vanilla and mix well add flour and mix well pour into greased 9 x 13 inch pan bake at 350 degrees for 45 minutes <RECIPE_END>","<RECIPE_START> melt chocolate in a large saucepan over low heat add flour and sugar , stirring until melted remove from heat and cool beat eggs until light and fluffy add flour and mix well add flour and mix well add nuts and mix well drop by rounded teaspoonfuls onto ungreased cookie sheets bake at 350 degrees for 10 minutes cool completely <RECIPE_END>","<RECIPE_START> butter and sugar flour nuts and margarine melt butter and vanilla in a large bowl add eggs , one at a time , beating well after each addition add flour and beat until smooth add chocolate mixture and mix well pour into a greased 9 x 13 - inch pan bake at 350 degrees for 30 to 35 minutes cool on a wire rack <RECIPE_END>"
charlottka/charlotte russe,"candies	desserts",6 servings,"16    ladyfinger cookies -- halved	lengthwise	4 lg egg yolks	1/2 c  sugar	1 c  milk	1    2 "" piece	2 ts gelatin -- softened in	1/4 c  cold water	1/2 c  sour cream -- chilled	1/2 c  heavy cream -- chilled	1    raspberry puree	vanilla bean","<RECIPE_START> preheat oven to 350 degrees f cream butter and sugar in a large bowl until light and fluffy beat in egg yolks , one at a time , beating well after each addition beat in vanilla and almond extract beat in egg yolks and vanilla add flour mixture , beating until well blended and smooth fold in chocolate mixture pour into prepared pan bake at 350 degrees f for 30 minutes or until cake tests done cool in pan on rack for 10 minutes remove from pan and cool completely on wire rack <RECIPE_END>","<RECIPE_START> in a small saucepan , combine the egg yolks , sugar , and lemon juice , and cook over medium heat , stirring constantly , until the mixture thickens and coats the back of a spoon , about 5 minutes remove from the heat and stir in the cream , vanilla , and salt and set aside beat the egg whites until stiff peaks form fold the egg whites into the egg whites and fold in the whipped cream pour the mixture into the prepared pan and bake for 1 hour or until the custard is set and the top is firm and the center is firm and the center is firm to the touch , remove the pan from the refrigerator and let cool completely on a wire rack before serving <RECIPE_END>","<RECIPE_START> combine the raspberries , sugar , and salt in a small saucepan bring to a boil over medium heat , stirring constantly , until the mixture is thick and the mixture is thick and the mixture is thick and the mixture is thick remove from the heat and let cool completely in a small bowl , combine the cream , milk , and sugar in a small bowl and whisk until smooth and creamy , about 1 minute , then whisk in the egg yolks , one at a time , beating well after each addition stir in the cream and the remaining milk and the remaining 2 tablespoons of the milk and the remaining 2 tablespoons of the milk and the remaining 2 tablespoons of the gelatin mixture and whisk until the mixture is smooth and smooth , about 1 minute , then whisk in the egg yolks , one at a time , beating well after each addition , then whisk in the egg yolks , one at a time , beating well after each addition , then whisk in the egg yolks , one at a time , beating well after each addition , then whisk in the egg yolks , then the cream and the remaining 2 tablespoons of the hot water , and the remaining 2 tablespoons of the milk and the remaining 2 tablespoons of the milk in a small bowl , whisk the egg whites until stiff and fold into the mixture fold the whipped cream into the whipped cream and fold into the whipped cream mixture pour the mixture into the prepared pan and chill for at least 2 hours or overnight unmold the cake onto a serving plate and serve immediately <RECIPE_END>","<RECIPE_START> cream gelatin in a lg bowl , combine sugar and water in a small saucepan bring to a boil over medium heat , stirring constantly remove from heat and stir in milk and vanilla puree in a blender or food processor until smooth add egg yolks , vanilla , and vanilla bean mix well fold in the raspberry mixture spoon into a 9 - inch square baking dish cover with plastic wrap and refrigerate until firm , about 1 hour unmold onto a serving plate and serve with whipped cream , if desired <RECIPE_END>"
chcolate dream dessert,"miamiherald	desserts	vegan	tofu",4 servings,"1 pk silken tofu (10 1/2 oz)	6 tb honey or rice syrup	1/4 c  cocoa powder	1 ts vanilla extract","<RECIPE_START> mix all ingredients together and pour into a greased and floured loaf pan , cover with a cloth and let stand at room temperature for 30 minutes before serving <RECIPE_END>",<RECIPE_START> mix all ingredients together and store in a cool place <RECIPE_END>,<RECIPE_START> combine all ingredients in a blender or food processor and blend until smooth <RECIPE_END>,"<RECIPE_START> blend the tofu , honey and vanilla extract together in a bowl and stir in the syrup and the vanilla chips and mix well <RECIPE_END>"
cheddar apple dandy,"cheese	desserts	fruits",6 servings,"6 c  apples; 	1/4 c  sugar	2 ts unbleached flour	1 1/2 c  cheddar; sharp, shredded	3/4 c  unbleached flour	1/4 c  sugar	1/2 ts cinnamon; ground	1/4 ts salt	1/2 c  butter","<RECIPE_START> combine the flour , salt , and baking powder in a bowl , combine the butter , brown sugar , and salt in a large mixing bowl , beat the butter until light and fluffy add the eggs , one at a time , beating well after each addition add the flour and mix well add the flour mixture and the dough and mix well pour the mixture into the prepared pan bake for 1 hour or until the crust is golden brown and the crust is golden brown and the crust is golden brown and the top is golden brown and the top is golden brown and the top is golden brown serve warm or cold <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees f grease a 9 x 13 x 2 - inch baking pan in a large bowl , combine flour , sugar , baking powder , salt and cinnamon add to the mixture , mixing well , and mix well pour into a greased 9 x 13 - inch baking dish bake in a 350 degree oven for 30 minutes or until the topping is golden brown remove from the oven and cool on a wire rack <RECIPE_END>","<RECIPE_START> preheat the oven to 350 degrees f combine the apples , sugar , and flour in a large bowl and set aside in a large bowl , combine the flour , sugar , salt , and salt and mix well add the apples and mix well pour the mixture into the prepared crust and bake for 40 minutes or until the topping is golden brown and the crust is golden brown <RECIPE_END>","<RECIPE_START> apples , sugar , cinnamon , salt , butter , flour , sugar , and cinnamon in a large bowl , combine the flour , sugar , cinnamon , and cinnamon in a medium bowl , combine the flour , sugar and cinnamon and mix well add to the butter mixture , stirring until well blended add the cheddar and mix well pour the mixture into a greased 9 - inch square baking pan bake at 350 degrees for 35 to 40 minutes or until a knife inserted in the center comes out clean cool in the pan on a wire rack for 10 minutes , then remove from the pan and cool on a wire rack <RECIPE_END>"
cheddar bread ring,breads,4 servings,"2 3/4 c  bread flour	2 ts sugar; granulated	1 pk active dry yeast; or ctive dry yeast; bulk	3/4 ts salt	1 c  milk	2 ts butter	1 1/2 c  cheddar; sharp, shredded	1 x  butter","<RECIPE_START> place the yeast in a warm bowl and add the yeast , sugar , and salt stir in the yeast mixture and the yeast mixture and beat until smooth add the yeast mixture and the yeast mixture to the yeast mixture , stirring until the mixture is smooth and the dough forms a ball knead on a floured surface until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , or until the dough is smooth and elastic , about 10 minutes place the dough in a lightly oiled bowl , cover with a damp towel and let rise in a warm place until doubled , about 1 hour punch down the dough and knead for about 10 minutes , then knead the dough until it is smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , or until the dough is smooth and elastic , about 10 minutes divide the dough into two equal parts and roll each half into a 12 - inch circle on a floured surface , roll out the dough to a 14 - inch rectangle , leaving a 1/2 inch border place the dough in the center of the dough and fold over the filling to form a triangle , fold the dough over the filling , and fold the dough over the filling , then the other half of the dough , and fold the dough over the filling , then the other half of the dough over the filling , then fold the dough over the filling , and fold the dough over the filling , then the other half of the dough , and fold the dough over the filling , then the other half of the dough over the filling , then the other half of the dough over the filling , then fold the dough over the filling , and fold the dough over the filling , then the other half of the dough , and fold the dough over the filling , then the other half of the dough over the filling , then the other half of the dough over the filling , then fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and fold the dough over the filling , and <RECIPE_END>",<RECIPE_START> place all ingredients in the pan in the order listed select white bread and push start <RECIPE_END>,"<RECIPE_START> in large bowl , combine flour , sugar , salt , and yeast in large bowl , combine flour , sugar , salt , and butter add yeast mixture to yeast mixture stir in enough of the remaining flour to make a soft dough turn out onto floured surface knead until smooth and elastic , about 10 minutes shape into a ball and place in greased bowl cover and let rise in warm place until doubled in bulk , about 1 hour punch down dough and divide into 2 equal parts shape each into a ball place on greased baking sheets and bake in preheated oven at 375 degrees f for 25 to 25 minutes or until golden brown cool on wire racks <RECIPE_END>","<RECIPE_START> add milk , salt , butter , sugar , yeast and bread flour and mix until well blended let rise in a warm place until doubled , about 1 hour punch down and shape into a ball place in a greased bowl , cover and let rise in a warm place for 1 hour or until doubled in bulk , about 1 hour punch down and roll into a ball place in a greased bowl , cover with a damp cloth and let rise until doubled , about 1 hour preheat oven to 350 degrees bake for 20 to 25 minutes or until golden brown <RECIPE_END>"
roast turkey,"poultry	ceideburg 2",1 servings,"10 lb to 12 lb turkey	1    clove garlic, crushed	1 c  butter, softened	salt	1/2 md onion, chopped	1    carrot, chopped	1    celery rib, chopped	1/4 c  fresh parsley	1 tb chopped fresh rosemary (1/2 dried)	1 tb fresh sage (1/2 dried)	1 tb fresh thyme (1/2 dried)","<RECIPE_START> place turkey breast in a large roasting pan with a lid , and cover with foil and bake for 30 minutes , or until tender remove from oven and set aside to cool , then remove the skin and bones cut the chicken into 1/2 - inch cubes in a large saucepan , combine the broth , wine , and water bring to a boil , reduce heat and simmer , covered , for 20 minutes , or until the chicken is tender and the liquid is reduced to 1 cup add the wine and simmer for 10 minutes longer remove the bay leaf and cloves and serve with the sauce <RECIPE_END>","<RECIPE_START> remove giblets from turkey and neck cavity with a sharp knife , cut turkey into bite - sized pieces and place in a large bowl with the turkey breast and giblets place the turkey breast side up in a roasting pan and roast the turkey breast side up , for about 15 minutes , or until the skin is tender remove the turkey from the oven and let cool completely cut the turkey into quarters and place in a large bowl , cover with the remaining giblets and place in a large roasting pan and roast the turkey breast side up , for about 15 minutes , or until the skin is tender and the skin is browned and the skin is browned and the skin is browned and the skin is browned and the skin is browned and the skin is browned and the skin is browned and the skin is browned on the outside of the bird , and the skin of the bird , and the bones are removed to the bone , skin and bones , and giblets , and giblets , if necessary , and stuff the turkey with a fork , and truss the bird , and the skin side up , and stuff the bird with the turkey breast and tie the legs together to enclose the bird , then place the turkey breast side up on a rack in a roasting pan and bake for 30 minutes , or until the bird are tender and the juices run clear when pierced with a fork , about 1 hour remove the turkey from the oven and let cool completely before slicing <RECIPE_END>","<RECIPE_START> cut the turkey into bite - size pieces and place in a large bowl add the turkey , ham , celery , parsley , thyme , thyme , thyme , thyme , and salt and pepper to taste mix the turkey with the turkey , poultry seasoning , and the turkey , and set aside place the turkey in a large roasting pan and roast for about 1 hour , or until the meat is tender and the meat is tender remove the meat from the oven and let cool in the refrigerator for at least 2 hours , or overnight , or until the meat is tender , and the meat is tender , about 1 hour remove the turkey from the pan and place in a roasting pan and roast for about 1 hour , or until the meat is tender and the meat is tender remove the meat from the pan and cool to room temperature , then refrigerate until ready to serve , place the turkey on a serving platter and garnish with the parsley and parsley <RECIPE_END>","<RECIPE_START> salt and turkey sage , rosemary , thyme , garlic , parsley , onion , celery , carrot , celery , celery , celery , celery , celery , celery , celery , celery , celery , celery , celery , celery , clove , thyme , and butter in a large bowl , combine the remaining ingredients and mix well place the turkey in a roasting pan and roast in a 350 degree oven for about 1 hour , basting every 15 minutes , basting every 30 to 35 minutes , or until done , basting occasionally with the sauce during the last 15 minutes of cooking time , remove the foil and keep the turkey warm in a 350 degree oven for about 20 minutes or until the internal temperature reaches 160 degrees <RECIPE_END>"
french bread lerner,breads,1 servings,"3 c  unbleached white flour	1 1/2 ts salt	3 tb wheatgerm	1 tb dry yeast	1 c  warm water","<RECIPE_START> place the flour in a large bowl , add the yeast and stir until the mixture is smooth and elastic add the yeast mixture , and mix well add the flour and mix well knead the dough on a lightly floured surface until smooth and elastic , about 10 minutes place the dough in a lightly oiled bowl , cover with a damp towel and let rise in a warm place until doubled , about 1 hour punch down the dough and knead for about 10 minutes , then knead the dough until it is smooth and elastic , about 10 minutes place the dough in a lightly oiled bowl , cover with a damp towel and let rise in a warm place until doubled , about 1 hour punch down the dough and knead for about 10 minutes , then knead the dough until it is smooth and elastic , about 10 minutes place the dough in a lightly oiled bowl , cover with a damp towel and let rise in a warm place until doubled , about 1 hour punch down the dough and knead for about 10 minutes , then knead the dough until it is smooth and elastic , about 10 minutes place the dough in a lightly oiled bowl , cover with a damp towel and let rise in a warm place until doubled , about 1 hour punch down the dough and knead for about 10 minutes , then knead until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , then knead the dough until it is smooth and elastic , about 10 minutes place in a bowl , cover with plastic wrap and let rise in a warm place until doubled , about 1 hour punch down and let rest for 10 minutes divide the dough into two equal parts and roll each piece into a ball , and place it on a lightly floured surface and knead it for 5 to 10 minutes , until the dough is smooth and elastic , about 10 minutes place the dough in a large bowl , cover with plastic wrap and let rise in a warm place until doubled , about 1 hour punch down and let rest for 10 minutes divide the dough into two equal parts and roll each piece into a ball , and place it on a lightly floured surface and knead it for 5 to 10 minutes , until the dough is smooth and elastic , about 10 minutes place the dough in a large bowl , cover with plastic wrap and let rise in a warm place until doubled , about 1 hour punch down and let rest for 10 minutes divide the dough into two equal parts and roll each piece into a ball , and place it on a lightly floured surface and knead it for 5 to 10 minutes , then knead until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a lightly floured surface and knead <RECIPE_END>",<RECIPE_START> put all ingredients in machine and program for the basic bread machine <RECIPE_END>,"<RECIPE_START> mix flour , salt , and baking powder in a large bowl , mix together the flour , salt , and baking powder add the yeast mixture , stirring until it is well blended add the water and stir until it is smooth and elastic , about 5 minutes divide the dough into 4 equal portions roll each into a ball , wrap in plastic wrap and refrigerate for at least 1 hour before slicing <RECIPE_END>","<RECIPE_START> combine yeast , water , salt , flour and salt in a large bowl add enough water to make a soft ball knead on a floured board until smooth and elastic , about 10 minutes divide into 4 equal portions roll each piece into a ball and place in a greased bowl , cover with a damp cloth and let rise until doubled in bulk , about 1 hour punch down and divide into 4 equal portions place on a lightly floured surface , cover with a cloth and let rise until doubled in bulk , about 1 hour preheat oven to 375 degrees f brush tops with water and let rise until doubled in bulk , about 1 hour preheat oven to 375 f bake for 20 minutes or until golden brown serve warm or at room temperature <RECIPE_END>"
french-toasted banana sandwich,"breakfast	fruits	eggs/cheese",2 servings,"1 tb peanut butter (optional)	4    slices whole grain bread	2    bananas	2    eggs	1/3 c  milk	1/2 ts vanilla	pinch each cinnamon and salt	2 ts butter","<RECIPE_START> preheat oven to 350 degrees f grease a 9 x 13 pan in a large bowl , cream butter and sugar until light and fluffy add eggs , one at a time , beating well after each addition add the milk and vanilla beat until smooth add the flour mixture , beating well after each addition stir in the flour mixture , and stir until well blended pour into a greased 9 - inch square pan bake at 350 degrees f for 30 minutes or until the cake tests done cool in pan on a wire rack for 10 minutes remove from the pan and cool completely on a wire rack <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees f grease a 9 x 13 pan in a small bowl , combine the eggs , milk , vanilla , salt , and vanilla pour over the bread and mix well pour the mixture into a greased and floured 9 - inch square pan or a 9 x 13 - inch pan bake at 350 degrees for 45 minutes or until the custard is set and the top is golden brown and the top is golden brown and the top is golden brown <RECIPE_END>","<RECIPE_START> in a small bowl , combine the egg , milk , and milk , blending well add the egg and milk and mix well pour the mixture into the prepared pan and bake for 20 minutes , or until the cake is done <RECIPE_END>","<RECIPE_START> cut bananas into bread slices and butter melt butter in a saucepan add eggs , milk , cinnamon , vanilla and salt and cook until thick , about 5 minutes add the milk and cook until the mixture is thick and bubbly , about 5 minutes add the milk and cook until the mixture is thick and bubbly , about 5 minutes <RECIPE_END>"
fresh ginger muffins,breads,16 servings,"2 oz unpeeled ginger root	3/4 c  sugar	2 tb lemon zest  with some white pith	3 tb sugar	8 tb butter; room temperature	2    eggs	1 c  buttermilk	2 c  all-purpose flour	1/2 ts salt	3/4 ts baking soda","<RECIPE_START> peel and quarter the peaches cut the flesh into 1 - inch pieces combine the sugar , water , and salt in a large bowl , and stir until the mixture is smooth and creamy add the lemon juice and lemon juice and mix well add the orange juice , lemon juice , and salt and mix well add the raisins and nuts and mix well pour into a greased and floured 9 - inch square baking pan bake in a preheated 350 degree f oven for 40 minutes or until the cake tests done cool in the pan on a rack for 10 minutes remove from the pan and cool completely on a wire rack <RECIPE_END>","<RECIPE_START> in a large bowl , combine the sugar , water , butter , and orange zest in a large bowl and let stand for 10 minutes , then add the butter and the remaining ingredients and mix well with a wooden spoon , until the dough forms a ball , knead the dough until it is smooth and elastic , about 10 minutes , then knead it for 10 minutes , then roll out the dough to a thickness of a rectangle about 1 inch thick and cut into rounds about 1/2 inch thick place the logs in a large bowl , cover with a damp towel and let it rise in a warm place until doubled in bulk , about 1 hour preheat the oven to 350 degrees f place the dough in a large bowl and cover with a damp towel and let it rise in a warm place until doubled in bulk , about 1 hour preheat the oven to 350 degrees f in a large bowl , beat the eggs with the sugar until light and fluffy add the flour and beat until smooth and the mixture is smooth and the mixture is thick and the soft dough is formed , add the butter and beat until the dough is smooth and elastic , about 5 minutes divide the dough into two equal parts and roll each piece into a ball place the dough on a lightly floured surface and roll out the dough to a thickness of 1/8 inch thick cut the dough into rounds and place on a lightly greased baking sheet bake in a preheated 350 degree f oven for about 10 minutes , or until the crust is golden brown and the edges are golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the top is golden brown and the cake is cool enough to handle , remove the cake from the oven and set aside to cool , then cut the baklava in half lengthwise , and place them in a bowl and add the sugar , a little at a time , beating well after each addition beat in the eggs and vanilla and beat until smooth and creamy , about 5 minutes add the remaining ingredients and mix well with a wooden spoon until the mixture is well blended , then pour the batter into the prepared pan and bake for 1 hour , or until the cake is golden brown and the cake is done cool in the pan for 5 minutes remove from the oven and let cool completely on a wire rack <RECIPE_END>","<RECIPE_START> preheat oven to 350 f in a large bowl , combine the sugar , cream , sugar , and salt and set aside to cool for 10 minutes in a large bowl , combine the sugar , butter , and the salt , and beat until the mixture is smooth and creamy add the egg and beat until the mixture is thick and smooth add the flour mixture and mix well add the egg mixture and beat until well blended pour the batter into the prepared pan and bake for 40 minutes , or until the cake tests done cool in the pan on a rack for 10 minutes remove the pan from the oven and let cool for 10 minutes before unmolding <RECIPE_END>","<RECIPE_START> preheat oven to 350 butter a 9 - inch square baking pan in a large bowl , combine sugar , eggs , buttermilk , lemon zest , salt , soda , ginger , ginger , ginger , ginger , ginger , ginger , ginger , and zest in a bowl , beat together the eggs , sugar and lemon zest until well blended add the flour mixture and stir to mix well pour the batter into the prepared pan bake for 40 minutes , or until the cakes are golden brown and the batter is golden brown remove from the oven and let cool for 10 minutes before unmolding <RECIPE_END>"
